step	ce	kd	beta_req	beta	q_topk	p_topk
1	10.90040397644043	0.0001252225920325145	0.001	0.0	0.003525201231241226	0.002906197216361761
2	10.885154724121094	0.00010157447104575112	0.002	0.0	0.0034604959655553102	0.002900677500292659
3	10.868906021118164	6.429216591641307e-05	0.003	0.0	0.0034998871851712465	0.0030938126146793365
4	10.8584566116333	6.388602196238935e-05	0.004	0.0	0.0034505182411521673	0.0030208935495465994
5	10.865013122558594	0.00013917541946284473	0.005000000000000001	0.0	0.0034492062404751778	0.0028300245758146048
6	10.737207412719727	0.00016342791786883026	0.006	0.0	0.003451928496360779	0.002664319472387433
7	10.67963981628418	8.198745490517467e-05	0.007000000000000001	0.0	0.0034739805851131678	0.0030548435170203447
8	10.526540756225586	7.278039265656844e-05	0.008	0.0	0.003586897859349847	0.003345009870827198
9	10.626410484313965	5.5462638556491584e-05	0.009	0.0	0.0035758945159614086	0.0034717966336756945
10	10.442869186401367	3.605052916100249e-05	0.010000000000000002	0.0	0.0037631522864103317	0.0036545973271131516
11	10.31492805480957	2.370231959503144e-05	0.011000000000000001	0.0	0.0038965356070548296	0.003868923056870699
12	10.342751502990723	5.0809521781047806e-05	0.012	0.0	0.00397889781743288	0.003949861042201519
13	10.320952415466309	1.3217715604696423e-05	0.013000000000000001	0.0	0.0042421454563736916	0.004285859875380993
14	10.211859703063965	1.25925744214328e-05	0.014000000000000002	0.0	0.004555221647024155	0.004632855299860239
15	10.10679817199707	3.8561265682801604e-05	0.015	0.0	0.004821097943931818	0.005066311452537775
16	10.272655487060547	1.9179344235453755e-05	0.016	0.0	0.005131979007273912	0.005283924285322428
17	10.170539855957031	5.094886364531703e-05	0.017	0.0	0.0054014031775295734	0.005487184505909681
18	10.02673053741455	3.798985926550813e-05	0.018	0.0	0.005774672143161297	0.005710630677640438
19	9.890840530395508	5.422651156550273e-05	0.019000000000000003	0.0	0.005837795790284872	0.005664872005581856
20	9.800532341003418	3.852288136840798e-05	0.020000000000000004	0.0	0.005844066850841045	0.005911530461162329
21	9.620994567871094	3.936400753445923e-05	0.021	0.0	0.00629625516012311	0.006631751079112291
22	9.551267623901367	3.761523112189025e-05	0.022000000000000002	0.0	0.006848529446870089	0.007326255552470684
23	9.56021499633789	4.629877730621956e-05	0.023000000000000003	0.0	0.00747858639806509	0.008151591755449772
24	9.378327369689941	3.376432505319826e-05	0.024	0.0	0.008189313113689423	0.008713639341294765
25	9.689367294311523	5.9063080698251724e-05	0.025	0.0	0.00886326003819704	0.009613623842597008
26	9.427007675170898	0.0002902024134527892	0.026000000000000002	0.0	0.010501505807042122	0.012607669457793236
27	9.455757141113281	0.00021371463662944734	0.027000000000000003	0.0	0.01282937079668045	0.014636857435107231
28	9.719069480895996	0.00016970465367194265	0.028000000000000004	0.0	0.015070479363203049	0.016967663541436195
29	9.249958992004395	0.0001713175734039396	0.028999999999999998	0.0	0.01725075952708721	0.019322967156767845
30	9.234964370727539	9.572222188580781e-05	0.03	0.0	0.01971517503261566	0.021156689152121544
31	9.07663631439209	0.00039415888022631407	0.031	0.0	0.02238423191010952	0.026468871161341667
32	8.949270248413086	0.0004283332673367113	0.032	0.0	0.026217222213745117	0.030897393822669983
33	9.975257873535156	0.00047145274584181607	0.033	0.0	0.03069598786532879	0.035928137600421906
34	8.843770980834961	0.00027138751465827227	0.034	0.0	0.036333903670310974	0.040416184812784195
35	8.731237411499023	0.000584455905482173	0.034999999999999996	0.0	0.04091275855898857	0.04743638262152672
36	8.834321975708008	0.0008000934612937272	0.036	0.0	0.04823920875787735	0.056711167097091675
37	8.252412796020508	0.0008665253408253193	0.037	0.037	0.05712459608912468	0.06479257345199585
38	8.627304077148438	0.001196008757688105	0.038000000000000006	0.038000000000000006	0.0662420243024826	0.07812801003456116
39	8.306350708007812	0.0012291076127439737	0.03900000000000001	0.03900000000000001	0.07931048423051834	0.09233392030000687
40	8.34994888305664	0.0016303879674524069	0.04000000000000001	0.04000000000000001	0.09447084367275238	0.10935292392969131
41	8.455476760864258	0.0020911518950015306	0.041	0.041	0.11152984201908112	0.12797106802463531
42	7.801148414611816	0.002197404857724905	0.042	0.042	0.1322212517261505	0.15386569499969482
43	7.879973411560059	0.0023320941254496574	0.043000000000000003	0.043000000000000003	0.15355440974235535	0.17351792752742767
44	7.948248863220215	0.0026850781869143248	0.044000000000000004	0.044000000000000004	0.17514756321907043	0.1939033716917038
45	7.900066375732422	0.002665685722604394	0.045000000000000005	0.045000000000000005	0.19545136392116547	0.2094447910785675
46	8.336408615112305	0.0032944739796221256	0.046000000000000006	0.046000000000000006	0.22137142717838287	0.24334344267845154
47	8.287284851074219	0.0012601056369021535	0.047	0.047	0.24504007399082184	0.2592516541481018
48	7.446328163146973	0.001862717093899846	0.048	0.048	0.26339638233184814	0.27293986082077026
49	7.640734672546387	0.004159961361438036	0.049	0.049	0.28200414776802063	0.3129752278327942
50	7.645733833312988	0.005975681822746992	0.05	0.05	0.3186892867088318	0.36114364862442017
51	7.962113857269287	0.004449938889592886	0.051000000000000004	0.051000000000000004	0.35389262437820435	0.3820026218891144
52	8.314990043640137	0.0028129429556429386	0.052000000000000005	0.052000000000000005	0.3858162760734558	0.39783430099487305
53	7.575342178344727	0.004089635796844959	0.053000000000000005	0.053000000000000005	0.3889988958835602	0.3822810649871826
54	8.452245712280273	0.007068255450576544	0.054000000000000006	0.054000000000000006	0.367350697517395	0.38263943791389465
55	7.601937770843506	0.007527701091021299	0.05500000000000001	0.05500000000000001	0.38315579295158386	0.3796811103820801
56	8.319811820983887	0.00804001186043024	0.05600000000000001	0.05600000000000001	0.4000367820262909	0.404906690120697
57	7.925731182098389	0.012941786088049412	0.056999999999999995	0.056999999999999995	0.41157373785972595	0.37965214252471924
58	8.008808135986328	0.010676183737814426	0.057999999999999996	0.057999999999999996	0.3931193947792053	0.3700313866138458
59	7.929315090179443	0.014944661408662796	0.059	0.059	0.37487924098968506	0.3499656021595001
60	7.448596000671387	0.025997480377554893	0.06	0.06	0.3482644557952881	0.38111039996147156
61	7.5483317375183105	0.053365860134363174	0.061	0.061	0.3502529263496399	0.416460782289505
62	7.3336358070373535	0.0059595596976578236	0.062	0.062	0.4206213057041168	0.41229549050331116
63	7.456171989440918	0.007460668217390776	0.063	0.063	0.4181705117225647	0.43001484870910645
64	7.537317276000977	0.00791049562394619	0.064	0.064	0.42690348625183105	0.42363229393959045
65	7.481606483459473	0.008550926111638546	0.065	0.065	0.39795175194740295	0.3940819501876831
66	7.554600715637207	0.013842339627444744	0.066	0.066	0.3862300515174866	0.4358476400375366
67	7.725831985473633	0.009340215474367142	0.067	0.067	0.4112148582935333	0.4370345175266266
68	7.726449012756348	0.012045926414430141	0.068	0.068	0.4214154779911041	0.44775110483169556
69	7.484785079956055	0.008768435567617416	0.06899999999999999	0.06899999999999999	0.43482521176338196	0.42241841554641724
70	8.259886741638184	0.014032882638275623	0.06999999999999999	0.06999999999999999	0.41232508420944214	0.40816396474838257
71	7.380041122436523	0.012210926041007042	0.071	0.071	0.40037909150123596	0.3722808063030243
72	7.128559589385986	0.022924773395061493	0.072	0.072	0.40251776576042175	0.4102242887020111
73	7.935011386871338	0.020515846088528633	0.073	0.073	0.3972906768321991	0.4424392580986023
74	7.628500938415527	0.008573736064136028	0.074	0.074	0.4256298840045929	0.42262133955955505
75	7.26758337020874	0.005321389064192772	0.07500000000000001	0.07500000000000001	0.4083198010921478	0.40215522050857544
