step	baseline	experiment
133	8.09797477722168	8.142985343933105
134	7.651590824127197	7.721513748168945
135	8.10048770904541	8.080038070678711
136	7.861728191375732	7.878687858581543
137	7.555431842803955	7.644614219665527
138	7.3988494873046875	7.4589033126831055
139	7.429239273071289	7.510531425476074
140	7.937218189239502	8.034250259399414
141	7.0476202964782715	7.146024227142334
142	7.050139904022217	7.178267955780029
143	7.579761505126953	7.701364040374756
144	7.155517578125	7.2996673583984375
145	7.654053688049316	7.833357334136963
146	7.491915702819824	7.575325012207031
147	7.237454414367676	7.311941146850586
148	7.613872051239014	7.755429744720459
149	7.468489646911621	7.629014015197754
150	7.632122039794922	7.773678779602051
151	7.359871864318848	7.42364501953125
152	8.006414413452148	8.165260314941406
153	7.403476238250732	7.50117301940918
154	8.159923553466797	8.304956436157227
155	7.912172794342041	8.083465576171875
156	8.156122207641602	8.294188499450684
157	7.968853950500488	8.132474899291992
158	7.836179733276367	8.039710998535156
159	7.147202491760254	7.342632293701172
160	7.59535551071167	7.779502868652344
161	7.131117343902588	7.212461471557617
162	6.849350452423096	7.0611677169799805
163	7.702971935272217	7.889553070068359
164	7.375535011291504	7.565853118896484
165	7.406005859375	7.557610511779785
166	7.324316501617432	7.582090377807617
167	7.677916526794434	7.904802322387695
168	7.495899200439453	7.693892955780029
169	7.782770156860352	8.01082706451416
170	7.025627613067627	7.22360372543335
171	6.993117332458496	7.212494850158691
172	7.152247428894043	7.413443565368652
173	7.028463840484619	7.223204612731934
174	7.276913642883301	7.516246795654297
175	7.274550437927246	7.407536506652832
176	7.671876907348633	7.913415908813477
177	7.680785655975342	7.945313930511475
178	7.289590835571289	7.5009050369262695
179	7.000068664550781	7.21364688873291
180	7.940917491912842	8.169637680053711
181	7.490869522094727	7.711643218994141
182	7.908152103424072	8.067718505859375
183	7.473757743835449	7.707557678222656
184	7.712893486022949	7.948762893676758
185	7.642082214355469	7.8983001708984375
186	8.230849266052246	8.462435722351074
187	7.85703182220459	8.109175682067871
188	7.551203727722168	7.774277687072754
189	7.334895610809326	7.5646867752075195
190	7.316949844360352	7.544355869293213
191	6.984421253204346	7.214987277984619
192	7.230675220489502	7.449305057525635
193	7.019473075866699	7.278304100036621
194	6.940361976623535	7.1795830726623535
195	6.948598384857178	7.169175624847412
196	6.651283264160156	6.882296562194824
197	6.667360782623291	6.9358296394348145
198	7.1488494873046875	7.470829963684082
199	6.949864387512207	7.226530075073242
200	6.298172950744629	6.501324653625488
201	6.822646141052246	7.0731706619262695
202	6.492392539978027	6.773641586303711
203	6.910089015960693	7.21827507019043
204	6.574156761169434	6.861202239990234
205	6.455565452575684	6.741876602172852
206	6.637655735015869	6.94670295715332
207	6.970863342285156	7.278883934020996
208	5.891831398010254	6.201128005981445
209	6.848813533782959	7.210677146911621
210	6.71616792678833	6.990396499633789
211	6.091095447540283	6.363945484161377
212	6.501957893371582	6.825595378875732
213	6.419746398925781	6.74338436126709
214	7.2429609298706055	7.543383598327637
215	7.1836347579956055	7.487658500671387
216	7.0214738845825195	7.233334541320801
217	6.797870635986328	7.035855293273926
218	7.2301130294799805	7.529595375061035
219	7.0909271240234375	7.297728538513184
220	7.127615451812744	7.414330959320068
221	7.032014846801758	7.370953559875488
222	7.243801116943359	7.528963088989258
223	7.114492416381836	7.414309501647949
224	7.346440315246582	7.694051742553711
225	7.024051189422607	7.195584297180176
226	7.337170600891113	7.681943893432617
227	6.894537925720215	7.230348587036133
228	7.092079162597656	7.192030906677246
229	7.1942572593688965	7.44821834564209
230	7.238542556762695	7.619420051574707
231	7.10773229598999	7.461359024047852
232	6.990530014038086	7.268245697021484
233	7.91989803314209	8.286969184875488
234	7.272422790527344	7.6202921867370605
235	7.183577537536621	7.5286149978637695
236	7.419290542602539	7.856037139892578
237	7.125077247619629	7.483898162841797
238	7.824604034423828	8.188228607177734
239	7.16895866394043	7.5477094650268555
240	6.784135818481445	7.117049694061279
241	6.8958635330200195	7.19119119644165
242	7.26500940322876	7.6026387214660645
243	7.044721603393555	7.381894111633301
244	7.005398750305176	7.392827987670898
245	7.800896167755127	8.186479568481445
246	7.096405506134033	7.423308849334717
247	7.029401779174805	7.432429313659668
248	6.52094841003418	6.908804416656494
249	7.19478702545166	7.572736740112305
250	6.984692573547363	7.3272809982299805
251	7.212053298950195	7.482992172241211
252	7.024591445922852	7.414956569671631
253	7.228163719177246	7.659430503845215
254	7.42268180847168	7.7611403465271
255	6.967948913574219	7.2003703117370605
256	6.666655540466309	6.984349727630615
257	6.3182501792907715	6.493718147277832
258	6.780360221862793	7.117971897125244
259	6.412296772003174	6.680500507354736
260	6.69922399520874	7.005959987640381
261	6.4116411209106445	6.7371416091918945
262	6.489555358886719	6.850914478302002
263	7.639620780944824	7.998201370239258
264	7.058298110961914	7.3591413497924805
265	7.2952165603637695	7.685300350189209
266	6.826332092285156	7.129307746887207
267	6.9188361167907715	7.2622880935668945
268	6.696460723876953	7.049654006958008
269	6.380960464477539	6.703741550445557
270	6.728621482849121	7.10233211517334
271	6.783109664916992	7.088885307312012
272	6.463592529296875	6.7961344718933105
273	7.375105381011963	7.757354736328125
274	6.940181732177734	7.308647155761719
275	7.234840393066406	7.618734359741211
276	6.473879337310791	6.865975379943848
277	6.823118686676025	7.164615154266357
278	6.501253128051758	6.9195427894592285
279	6.534855842590332	6.9243268966674805
280	7.334358215332031	7.813446044921875
281	8.073446273803711	8.629984855651855
282	6.771044731140137	7.218757629394531
283	7.04986572265625	7.5316667556762695
284	7.1717305183410645	7.660846710205078
285	7.0601348876953125	7.578512191772461
286	6.958945274353027	7.384279251098633
287	6.665252685546875	7.090411186218262
288	6.748876571655273	7.170293807983398
289	6.629815101623535	7.022062301635742
290	6.38139533996582	6.822686195373535
291	6.400912284851074	6.751985549926758
292	6.346498012542725	6.749134063720703
293	6.659324645996094	7.07722806930542
294	6.371074676513672	6.706665515899658
295	6.715353965759277	7.1433258056640625
296	6.935408592224121	7.357831954956055
297	6.65052604675293	6.931759834289551
298	7.371939659118652	7.892763137817383
299	7.491457939147949	8.005903244018555
300	7.211009979248047	7.611570835113525
301	7.705714225769043	8.27590560913086
302	7.552334785461426	8.104397773742676
303	6.4267473220825195	6.865211486816406
304	6.242101669311523	6.675748825073242
305	7.776107311248779	8.365110397338867
306	7.445024490356445	7.991631031036377
307	6.955158233642578	7.491189002990723
308	6.832603931427002	7.402746677398682
309	7.329563140869141	7.907805442810059
310	6.324843406677246	6.750755310058594
311	7.395720481872559	7.991189956665039
312	6.834774494171143	7.3566575050354
313	7.438068389892578	7.983613967895508
314	7.356422424316406	7.914628028869629
315	7.078557014465332	7.699578285217285
316	7.499177932739258	8.060834884643555
317	7.254237174987793	7.79201602935791
318	7.143068313598633	7.723379611968994
319	7.100517272949219	7.649116516113281
320	7.136782646179199	7.670965671539307
321	6.806878566741943	7.384722709655762
322	6.864327430725098	7.420541763305664
323	6.654590606689453	7.107275485992432
324	6.543622970581055	7.060914993286133
325	6.869548797607422	7.448554039001465
326	6.852008819580078	7.384057998657227
327	6.929388999938965	7.523248672485352
328	6.375868797302246	6.782930374145508
329	6.397172927856445	6.934992790222168
330	6.816499710083008	7.394865036010742
331	6.339284896850586	6.85561990737915
332	6.516717910766602	7.062962532043457
333	6.603485107421875	7.180305004119873
334	6.3689656257629395	6.859111785888672
335	6.190844535827637	6.6671319007873535
336	6.141178131103516	6.66643762588501
337	7.327559471130371	7.900444030761719
338	6.792341232299805	7.399921417236328
339	6.955883979797363	7.491743564605713
340	6.549877166748047	7.06716775894165
341	7.095157146453857	7.720015048980713
342	7.614300727844238	8.242828369140625
343	6.305099964141846	6.795217514038086
344	6.293096542358398	6.726090431213379
345	6.547543525695801	7.0713090896606445
346	6.3496012687683105	6.8535356521606445
347	5.696852207183838	6.143361568450928
348	6.803781509399414	7.478374481201172
349	6.6234354972839355	7.2675933837890625
350	7.605099678039551	8.269548416137695
351	7.024252891540527	7.678224563598633
352	6.809233665466309	7.428429126739502
353	6.981821537017822	7.560537815093994
354	7.264401435852051	7.951964378356934
355	7.481510162353516	8.229888916015625
356	6.8618574142456055	7.47745943069458
357	6.532288074493408	7.0583906173706055
358	7.131171226501465	7.772240161895752
359	7.134852886199951	7.826089859008789
360	7.350653648376465	8.076179504394531
361	7.042920112609863	7.712525367736816
362	6.680188179016113	7.316954612731934
363	7.100610733032227	7.800743579864502
364	6.873940467834473	7.520726680755615
365	6.061087131500244	6.613880157470703
366	6.057187080383301	6.6708173751831055
367	6.719064235687256	7.376136779785156
368	6.486289024353027	7.0151495933532715
369	6.628688812255859	7.193167686462402
370	6.518829345703125	7.143632888793945
371	6.456799507141113	7.0079522132873535
372	6.7185282707214355	7.382894515991211
373	6.922671318054199	7.649244785308838
374	7.033583641052246	7.772154808044434
375	6.482564449310303	7.145735740661621
376	6.488459587097168	7.068521976470947
377	6.929731369018555	7.65887451171875
378	6.366392135620117	6.994531631469727
379	6.591879844665527	7.254300117492676
380	6.222320556640625	6.829982280731201
381	6.904112815856934	7.6136088371276855
382	6.8597893714904785	7.603368759155273
383	6.5662078857421875	7.276930809020996
384	6.296661376953125	6.918645858764648
385	6.501120567321777	7.194433212280273
386	6.609079360961914	7.346261501312256
387	6.618375778198242	7.338744163513184
388	6.928229331970215	7.638900279998779
389	6.248165130615234	6.9488630294799805
390	6.689090728759766	7.425776481628418
391	6.268374443054199	6.960121154785156
392	6.587079048156738	7.250312805175781
393	6.288216590881348	6.965325355529785
394	6.5957136154174805	7.34915828704834
395	6.4173455238342285	7.136171340942383
396	6.8878374099731445	7.648507118225098
397	7.010308265686035	7.789355754852295
398	7.119478702545166	7.885637283325195
399	7.003105163574219	7.778654098510742
400	5.547872543334961	6.19654655456543
401	6.2455902099609375	6.924759864807129
402	7.673284530639648	8.553289413452148
403	6.446929931640625	7.1318159103393555
404	6.657458305358887	7.392031669616699
405	6.220758438110352	6.9125213623046875
406	7.007453441619873	7.813977241516113
407	6.497481346130371	7.172408103942871
408	6.577978610992432	7.352324962615967
409	6.5393853187561035	7.316949844360352
410	6.602302074432373	7.366182327270508
411	6.289450645446777	6.964508056640625
412	6.761596202850342	7.484796524047852
413	6.677728652954102	7.442190647125244
414	6.609787940979004	7.374383926391602
415	6.910857200622559	7.674805164337158
416	7.16076135635376	7.970012664794922
417	6.628637313842773	7.391605377197266
418	6.7847394943237305	7.531668663024902
419	6.968000411987305	7.7032318115234375
420	6.366212844848633	7.119472503662109
421	7.3852739334106445	8.229467391967773
422	7.249386787414551	8.078289031982422
423	7.3436689376831055	8.14437198638916
424	6.7196784019470215	7.501532554626465
425	7.3825483322143555	8.174087524414062
426	7.316003799438477	8.122011184692383
427	7.076064109802246	7.855677604675293
428	7.151879787445068	7.994984149932861
429	6.604732036590576	7.355825424194336
430	6.670405387878418	7.420418739318848
431	6.105772018432617	6.782997131347656
432	5.9386701583862305	6.6021623611450195
433	6.54177713394165	7.282741546630859
434	6.451751708984375	7.133706569671631
435	6.173497200012207	6.903709411621094
436	6.548651695251465	7.293415546417236
437	6.607199668884277	7.312424182891846
438	6.151236534118652	6.737914085388184
439	6.435229301452637	7.183123588562012
440	6.01259183883667	6.656083106994629
441	6.44074010848999	7.172247409820557
442	6.5973405838012695	7.362802982330322
443	7.24444580078125	8.0841064453125
444	6.207021713256836	6.925164222717285
445	6.827449798583984	7.579140663146973
446	6.3904547691345215	7.039944648742676
447	6.994840621948242	7.771274566650391
448	6.533798694610596	7.250366687774658
449	5.506030559539795	6.042093276977539
450	5.552547454833984	6.136796951293945
451	5.460685729980469	6.060067176818848
452	6.159397602081299	6.841884613037109
453	6.3536834716796875	7.078273773193359
454	6.22242546081543	6.898387908935547
455	5.871886253356934	6.524409770965576
456	6.482717514038086	7.2330498695373535
457	6.171289443969727	6.897099494934082
458	7.002408027648926	7.753509998321533
