step	baseline	experiment
1	10.872420310974121	10.875140190124512
2	10.838335037231445	10.835329055786133
3	10.865828514099121	10.83879566192627
4	10.813733100891113	10.808194160461426
5	10.765487670898438	10.772439956665039
6	10.681495666503906	10.675558090209961
7	10.584906578063965	10.620327949523926
8	10.633264541625977	10.612776756286621
9	10.577423095703125	10.538518905639648
10	10.46851921081543	10.44583511352539
11	10.397830963134766	10.38038444519043
12	10.283241271972656	10.25850772857666
13	10.266956329345703	10.259529113769531
14	10.18022346496582	10.165475845336914
15	10.055493354797363	10.032814025878906
16	10.094034194946289	10.091957092285156
17	10.240215301513672	10.228635787963867
18	10.047652244567871	10.038627624511719
19	9.964729309082031	9.954174995422363
20	9.822370529174805	9.810476303100586
21	9.797831535339355	9.77506160736084
22	9.738447189331055	9.735151290893555
23	9.552408218383789	9.55051040649414
24	9.648087501525879	9.63149356842041
25	9.606545448303223	9.589554786682129
26	9.5064697265625	9.471704483032227
27	9.436054229736328	9.424108505249023
28	9.29680061340332	9.293061256408691
29	9.310758590698242	9.312931060791016
30	9.226584434509277	9.21938705444336
31	9.123180389404297	9.118051528930664
32	8.933436393737793	8.931097984313965
33	8.992809295654297	8.983186721801758
34	9.626550674438477	9.600915908813477
35	8.82304573059082	8.816987991333008
36	8.673271179199219	8.669910430908203
37	8.910890579223633	8.859683990478516
38	8.507198333740234	8.506585121154785
39	8.52469253540039	8.499866485595703
40	8.306285858154297	8.288243293762207
41	8.298240661621094	8.292211532592773
42	8.259681701660156	8.255638122558594
43	7.850940704345703	7.841007709503174
44	8.16712760925293	8.159967422485352
45	8.188648223876953	8.18570613861084
46	8.356731414794922	8.347213745117188
47	8.207077026367188	8.204696655273438
48	7.734870910644531	7.7264604568481445
49	8.101318359375	8.097145080566406
50	7.5086774826049805	7.5043044090271
51	7.894157409667969	7.894259929656982
52	8.278815269470215	8.280956268310547
53	7.694070816040039	7.695128440856934
54	7.713586330413818	7.711198329925537
55	7.576912879943848	7.573932647705078
56	7.841947078704834	7.837270259857178
57	7.907279014587402	7.896631240844727
58	8.014091491699219	7.986948490142822
59	8.138240814208984	8.10589599609375
60	7.989458084106445	8.038928031921387
61	8.003108024597168	7.979000091552734
62	7.6988844871521	7.682125091552734
63	7.984345436096191	7.952824592590332
64	8.032369613647461	7.992740154266357
65	7.868161201477051	7.822172164916992
66	7.383086204528809	7.346135139465332
67	7.527644157409668	7.500421047210693
68	7.913668632507324	7.89198112487793
69	7.46845817565918	7.446361541748047
70	7.62277889251709	7.591887474060059
71	8.227518081665039	8.216543197631836
72	7.626563549041748	7.5967864990234375
73	7.5545783042907715	7.509218692779541
74	7.789449691772461	7.773013114929199
75	7.8885698318481445	7.853834629058838
76	7.656482219696045	7.633946418762207
77	7.588702201843262	7.555171012878418
78	7.656698703765869	7.630908012390137
79	7.589603424072266	7.553937911987305
80	7.7093987464904785	7.701233863830566
81	8.231813430786133	8.241817474365234
82	7.314239501953125	7.304313659667969
83	7.721054553985596	7.670444011688232
84	7.0086588859558105	6.993578910827637
85	8.35550308227539	8.374462127685547
86	8.496676445007324	8.443849563598633
87	8.029611587524414	8.007636070251465
88	7.908230304718018	7.8373942375183105
89	8.511232376098633	8.468320846557617
90	8.065730094909668	8.007816314697266
91	8.159178733825684	8.158194541931152
92	7.64224910736084	7.562246322631836
93	7.625845432281494	7.615386486053467
94	7.650027275085449	7.61418342590332
95	7.986116409301758	7.980048179626465
96	7.945308685302734	7.9597272872924805
97	7.72447395324707	7.738962173461914
98	7.362702369689941	7.304388999938965
99	6.984435081481934	6.939166069030762
100	7.803408622741699	7.763311386108398
101	7.663270950317383	7.6542534828186035
102	7.937274932861328	7.950130462646484
103	8.625314712524414	8.623031616210938
104	7.498737812042236	7.532517433166504
105	7.779119968414307	7.758889198303223
106	7.94658088684082	7.927339553833008
107	7.844269752502441	7.847596168518066
108	7.562177658081055	7.601341247558594
109	7.84423828125	7.804815769195557
110	7.556046485900879	7.543730735778809
111	7.401280403137207	7.4469828605651855
112	7.498334884643555	7.486652851104736
113	7.688514709472656	7.703705787658691
114	7.543724060058594	7.468194961547852
115	7.751452445983887	7.7548370361328125
116	7.662701606750488	7.666614055633545
117	7.405941009521484	7.356186389923096
118	8.223407745361328	8.215856552124023
119	7.553217887878418	7.558047771453857
120	7.8112030029296875	7.840093612670898
121	8.87337875366211	8.865737915039062
122	7.797945976257324	7.809040069580078
123	8.20284366607666	8.207792282104492
124	9.098808288574219	9.101264953613281
125	7.628273963928223	7.698408126831055
126	7.734188079833984	7.768489837646484
127	7.7218804359436035	7.709419250488281
128	7.8897705078125	7.939596176147461
129	7.8121232986450195	7.7703537940979
130	8.133901596069336	8.11038589477539
131	7.357855319976807	7.336862087249756
132	8.239800453186035	8.267852783203125
133	7.767031192779541	7.779069900512695
134	7.806872367858887	7.717822551727295
135	8.806676864624023	8.783963203430176
136	8.849485397338867	8.783903121948242
137	7.823068618774414	7.803938388824463
138	7.709778785705566	7.752312660217285
139	7.485752105712891	7.481123447418213
140	7.2909955978393555	7.295408248901367
141	7.306011199951172	7.287069320678711
142	7.532697677612305	7.533744812011719
143	7.937454700469971	7.923101902008057
144	7.757406234741211	7.776993274688721
145	8.006664276123047	8.006102561950684
146	6.964022636413574	6.979441165924072
147	7.659012794494629	7.6000213623046875
148	7.317024230957031	7.290832042694092
149	7.249758243560791	7.291727066040039
150	7.677532196044922	7.591005325317383
151	7.476408004760742	7.406560897827148
152	8.183040618896484	8.180158615112305
153	8.408803939819336	8.380993843078613
154	7.861398220062256	7.820747375488281
155	8.059590339660645	8.017659187316895
156	7.963644981384277	7.95135498046875
157	8.078937530517578	8.101967811584473
158	7.606219291687012	7.614100456237793
159	7.857812881469727	7.885639190673828
160	7.7062530517578125	7.726184844970703
161	6.934595108032227	6.836060523986816
162	7.494454383850098	7.516554832458496
163	7.270042419433594	7.259865760803223
164	7.325955390930176	7.335789680480957
165	7.297158718109131	7.268823623657227
166	7.739476203918457	7.794223785400391
167	7.969610214233398	8.062192916870117
168	8.344005584716797	8.432366371154785
169	7.734152793884277	7.7674360275268555
170	6.828198432922363	6.888973236083984
171	7.75791072845459	7.766048431396484
172	7.60820198059082	7.64411735534668
173	7.618875980377197	7.663490295410156
174	7.810410499572754	7.7455620765686035
175	7.561367511749268	7.494328498840332
176	7.60643196105957	7.639866828918457
177	7.801549911499023	7.795123100280762
178	7.554637432098389	7.54288387298584
179	7.271178722381592	7.1992082595825195
180	7.30683708190918	7.30181360244751
181	7.4625396728515625	7.502559661865234
182	8.171119689941406	8.123987197875977
183	7.665127277374268	7.677934646606445
184	7.804649353027344	7.805616855621338
185	8.103612899780273	8.067892074584961
186	7.355809688568115	7.359289646148682
187	7.834880352020264	7.826927185058594
188	7.348114013671875	7.320732116699219
189	7.538673400878906	7.5486931800842285
190	7.292287349700928	7.316413402557373
191	7.753162384033203	7.710671424865723
192	7.505923748016357	7.524127006530762
193	7.096350193023682	7.091727256774902
194	7.012968063354492	7.03334903717041
195	7.096965789794922	7.108911514282227
196	6.735900402069092	6.788458347320557
197	6.742242813110352	6.797423362731934
198	6.916904449462891	6.9911675453186035
199	7.081023216247559	7.122507095336914
200	6.919513702392578	6.923151969909668
201	7.124215126037598	7.1572113037109375
202	6.971973896026611	7.039132118225098
203	7.191216468811035	7.174206733703613
204	6.866806983947754	6.915175437927246
205	6.915577411651611	7.015674591064453
206	6.697709560394287	6.745213985443115
207	6.559731960296631	6.633786678314209
208	6.967955112457275	7.050877571105957
