step,loss,run
1,11.01930046081543,L-only (500)
2,10.75526237487793,L-only (500)
3,9.955975532531738,L-only (500)
4,9.538408279418945,L-only (500)
5,8.895730018615723,L-only (500)
6,8.262532234191895,L-only (500)
7,8.161469459533691,L-only (500)
8,8.602381706237793,L-only (500)
9,7.983469009399414,L-only (500)
10,8.45016860961914,L-only (500)
11,8.048919677734375,L-only (500)
12,8.368849754333496,L-only (500)
13,8.574033737182617,L-only (500)
14,8.16118049621582,L-only (500)
15,8.018803596496582,L-only (500)
16,8.46428394317627,L-only (500)
17,8.689435005187988,L-only (500)
18,8.64493179321289,L-only (500)
19,8.430679321289062,L-only (500)
20,8.694263458251953,L-only (500)
21,8.494623184204102,L-only (500)
22,8.993915557861328,L-only (500)
23,8.717844009399414,L-only (500)
24,8.504152297973633,L-only (500)
25,7.391842842102051,L-only (500)
26,7.201381206512451,L-only (500)
27,9.662564277648926,L-only (500)
28,9.073213577270508,L-only (500)
29,9.14645004272461,L-only (500)
30,8.869763374328613,L-only (500)
31,8.831313133239746,L-only (500)
32,9.800640106201172,L-only (500)
33,9.189191818237305,L-only (500)
34,9.996737480163574,L-only (500)
35,9.00326156616211,L-only (500)
36,9.722737312316895,L-only (500)
37,9.747681617736816,L-only (500)
38,9.671850204467773,L-only (500)
39,9.287485122680664,L-only (500)
40,9.833602905273438,L-only (500)
41,9.918243408203125,L-only (500)
42,9.081337928771973,L-only (500)
43,9.101877212524414,L-only (500)
44,9.395978927612305,L-only (500)
45,9.571910858154297,L-only (500)
46,9.175735473632812,L-only (500)
47,9.220393180847168,L-only (500)
48,9.528238296508789,L-only (500)
49,9.465692520141602,L-only (500)
50,9.181646347045898,L-only (500)
51,9.432445526123047,L-only (500)
52,9.668489456176758,L-only (500)
53,9.509683609008789,L-only (500)
54,9.368146896362305,L-only (500)
55,10.126177787780762,L-only (500)
56,9.747884750366211,L-only (500)
57,9.182855606079102,L-only (500)
58,9.222281455993652,L-only (500)
59,9.403959274291992,L-only (500)
60,8.700826644897461,L-only (500)
61,8.92756462097168,L-only (500)
62,8.429945945739746,L-only (500)
63,8.858325004577637,L-only (500)
64,9.004958152770996,L-only (500)
65,9.056880950927734,L-only (500)
66,9.03261661529541,L-only (500)
67,8.257211685180664,L-only (500)
68,9.53499984741211,L-only (500)
69,9.022462844848633,L-only (500)
70,9.165369033813477,L-only (500)
71,8.668197631835938,L-only (500)
72,8.751663208007812,L-only (500)
73,8.674206733703613,L-only (500)
74,7.827980995178223,L-only (500)
75,7.803112983703613,L-only (500)
76,8.831141471862793,L-only (500)
77,9.093700408935547,L-only (500)
78,8.561946868896484,L-only (500)
79,8.087564468383789,L-only (500)
80,8.835498809814453,L-only (500)
81,8.760176658630371,L-only (500)
82,8.098140716552734,L-only (500)
83,7.986026287078857,L-only (500)
84,7.976727485656738,L-only (500)
85,8.784608840942383,L-only (500)
86,8.519797325134277,L-only (500)
87,8.057409286499023,L-only (500)
88,7.870408535003662,L-only (500)
89,8.397209167480469,L-only (500)
90,9.318475723266602,L-only (500)
91,8.267313003540039,L-only (500)
92,7.720941066741943,L-only (500)
93,7.958704948425293,L-only (500)
94,8.663257598876953,L-only (500)
95,8.433055877685547,L-only (500)
96,8.0694580078125,L-only (500)
97,8.472395896911621,L-only (500)
98,8.252524375915527,L-only (500)
99,8.58708381652832,L-only (500)
100,7.675644874572754,L-only (500)
1,10.99788761138916,LSSS-diff (500)
2,10.574075698852539,LSSS-diff (500)
3,9.840970993041992,LSSS-diff (500)
4,9.328824996948242,LSSS-diff (500)
5,8.845375061035156,LSSS-diff (500)
6,7.9403228759765625,LSSS-diff (500)
7,7.383837699890137,LSSS-diff (500)
8,8.000642776489258,LSSS-diff (500)
9,8.960917472839355,LSSS-diff (500)
10,8.083114624023438,LSSS-diff (500)
11,8.171467781066895,LSSS-diff (500)
12,8.162442207336426,LSSS-diff (500)
13,8.021679878234863,LSSS-diff (500)
14,8.126800537109375,LSSS-diff (500)
15,9.752798080444336,LSSS-diff (500)
16,8.17835807800293,LSSS-diff (500)
17,8.42229175567627,LSSS-diff (500)
18,8.14157772064209,LSSS-diff (500)
19,8.073677062988281,LSSS-diff (500)
20,8.122953414916992,LSSS-diff (500)
21,8.397039413452148,LSSS-diff (500)
22,8.319998741149902,LSSS-diff (500)
23,9.234904289245605,LSSS-diff (500)
24,8.745038986206055,LSSS-diff (500)
25,8.788435935974121,LSSS-diff (500)
26,8.72428035736084,LSSS-diff (500)
27,7.968853950500488,LSSS-diff (500)
28,8.823959350585938,LSSS-diff (500)
29,8.830641746520996,LSSS-diff (500)
30,8.773087501525879,LSSS-diff (500)
31,8.859781265258789,LSSS-diff (500)
32,8.725665092468262,LSSS-diff (500)
33,9.106916427612305,LSSS-diff (500)
34,9.057455062866211,LSSS-diff (500)
35,8.691062927246094,LSSS-diff (500)
36,8.572978973388672,LSSS-diff (500)
37,9.030655860900879,LSSS-diff (500)
38,9.15096664428711,LSSS-diff (500)
39,9.381958961486816,LSSS-diff (500)
40,8.888080596923828,LSSS-diff (500)
41,9.12685775756836,LSSS-diff (500)
42,9.022435188293457,LSSS-diff (500)
43,8.919256210327148,LSSS-diff (500)
44,8.78588581085205,LSSS-diff (500)
45,8.853668212890625,LSSS-diff (500)
46,8.626375198364258,LSSS-diff (500)
47,8.746527671813965,LSSS-diff (500)
48,8.435949325561523,LSSS-diff (500)
49,8.895393371582031,LSSS-diff (500)
50,8.833060264587402,LSSS-diff (500)
51,8.568906784057617,LSSS-diff (500)
52,8.824597358703613,LSSS-diff (500)
53,8.978506088256836,LSSS-diff (500)
54,8.968965530395508,LSSS-diff (500)
55,9.069811820983887,LSSS-diff (500)
56,9.044925689697266,LSSS-diff (500)
57,8.631678581237793,LSSS-diff (500)
58,8.655016899108887,LSSS-diff (500)
59,8.499214172363281,LSSS-diff (500)
60,8.593260765075684,LSSS-diff (500)
61,8.583444595336914,LSSS-diff (500)
62,8.574746131896973,LSSS-diff (500)
63,8.716657638549805,LSSS-diff (500)
64,8.507516860961914,LSSS-diff (500)
65,8.682223320007324,LSSS-diff (500)
66,8.190204620361328,LSSS-diff (500)
67,8.40698528289795,LSSS-diff (500)
68,8.268303871154785,LSSS-diff (500)
69,8.06598949432373,LSSS-diff (500)
70,7.847593784332275,LSSS-diff (500)
71,8.397367477416992,LSSS-diff (500)
72,8.30172348022461,LSSS-diff (500)
73,8.421931266784668,LSSS-diff (500)
74,8.191052436828613,LSSS-diff (500)
75,7.756361961364746,LSSS-diff (500)
76,8.108499526977539,LSSS-diff (500)
77,8.057446479797363,LSSS-diff (500)
78,7.841396808624268,LSSS-diff (500)
79,8.093301773071289,LSSS-diff (500)
80,7.8741536140441895,LSSS-diff (500)
81,7.799821853637695,LSSS-diff (500)
82,7.717339992523193,LSSS-diff (500)
83,7.769916534423828,LSSS-diff (500)
84,8.000166893005371,LSSS-diff (500)
85,7.8770856857299805,LSSS-diff (500)
86,7.729382514953613,LSSS-diff (500)
87,7.977608680725098,LSSS-diff (500)
88,8.206072807312012,LSSS-diff (500)
89,7.835504531860352,LSSS-diff (500)
90,7.682710647583008,LSSS-diff (500)
91,7.890231609344482,LSSS-diff (500)
92,7.708876609802246,LSSS-diff (500)
93,7.571425914764404,LSSS-diff (500)
94,7.749087333679199,LSSS-diff (500)
95,7.818418979644775,LSSS-diff (500)
96,7.827051162719727,LSSS-diff (500)
97,7.613587856292725,LSSS-diff (500)
98,7.93993616104126,LSSS-diff (500)
99,7.595259666442871,LSSS-diff (500)
100,7.860531806945801,LSSS-diff (500)
2,10.989336013793945,core const (100)
3,10.690191268920898,core const (100)
4,9.780390739440918,core const (100)
5,9.41879940032959,core const (100)
6,8.931492805480957,core const (100)
7,8.274432182312012,core const (100)
8,8.218710899353027,core const (100)
9,8.067061424255371,core const (100)
10,8.534936904907227,core const (100)
11,8.040448188781738,core const (100)
12,8.040090560913086,core const (100)
13,8.148887634277344,core const (100)
14,8.086101531982422,core const (100)
15,8.033004760742188,core const (100)
16,7.917766571044922,core const (100)
17,8.528076171875,core const (100)
18,8.232283592224121,core const (100)
19,8.469111442565918,core const (100)
20,8.982895851135254,core const (100)
21,8.217794418334961,core const (100)
22,8.23679256439209,core const (100)
23,8.225866317749023,core const (100)
24,8.456664085388184,core const (100)
25,8.523179054260254,core const (100)
26,8.446277618408203,core const (100)
27,8.39706039428711,core const (100)
28,8.518129348754883,core const (100)
29,8.353111267089844,core const (100)
30,8.363162994384766,core const (100)
31,8.593159675598145,core const (100)
32,8.508173942565918,core const (100)
33,8.284257888793945,core const (100)
34,8.623506546020508,core const (100)
35,8.505632400512695,core const (100)
36,8.326815605163574,core const (100)
37,8.528034210205078,core const (100)
38,8.283146858215332,core const (100)
39,8.257720947265625,core const (100)
40,8.16006088256836,core const (100)
41,8.230740547180176,core const (100)
42,8.098917961120605,core const (100)
43,8.27171516418457,core const (100)
44,8.011866569519043,core const (100)
45,8.281618118286133,core const (100)
46,8.363590240478516,core const (100)
47,8.079192161560059,core const (100)
48,8.190441131591797,core const (100)
49,8.372777938842773,core const (100)
50,8.511025428771973,core const (100)
51,8.314412117004395,core const (100)
52,8.796442031860352,core const (100)
53,8.502480506896973,core const (100)
54,8.464306831359863,core const (100)
55,8.637892723083496,core const (100)
56,8.562859535217285,core const (100)
57,8.402098655700684,core const (100)
58,8.200044631958008,core const (100)
59,8.029479026794434,core const (100)
60,8.254253387451172,core const (100)
61,7.846063137054443,core const (100)
62,8.697827339172363,core const (100)
63,7.997555255889893,core const (100)
64,8.038301467895508,core const (100)
65,8.536389350891113,core const (100)
66,8.2695951461792,core const (100)
67,7.98813533782959,core const (100)
68,8.085081100463867,core const (100)
69,7.975970268249512,core const (100)
70,7.870053768157959,core const (100)
71,7.771306991577148,core const (100)
72,8.011371612548828,core const (100)
73,8.626524925231934,core const (100)
74,8.010616302490234,core const (100)
75,7.916849136352539,core const (100)
76,7.561905860900879,core const (100)
77,7.732302665710449,core const (100)
78,7.962789535522461,core const (100)
79,8.267129898071289,core const (100)
80,7.876705169677734,core const (100)
81,7.70151948928833,core const (100)
82,7.910182476043701,core const (100)
83,7.633768081665039,core const (100)
84,7.64442253112793,core const (100)
85,7.681806564331055,core const (100)
86,7.195436000823975,core const (100)
87,8.020312309265137,core const (100)
88,7.495787620544434,core const (100)
89,8.025750160217285,core const (100)
90,7.551642417907715,core const (100)
91,7.790817737579346,core const (100)
92,7.6488471031188965,core const (100)
93,7.737471103668213,core const (100)
94,7.712986469268799,core const (100)
95,7.945639610290527,core const (100)
96,7.793317794799805,core const (100)
97,7.928096771240234,core const (100)
98,7.788613796234131,core const (100)
99,8.337909698486328,core const (100)
2,10.989336013793945,core linear decay (100)
3,10.6900634765625,core linear decay (100)
4,9.834670066833496,core linear decay (100)
5,9.356714248657227,core linear decay (100)
6,8.891223907470703,core linear decay (100)
7,8.274219512939453,core linear decay (100)
8,8.01228141784668,core linear decay (100)
9,8.242325782775879,core linear decay (100)
10,8.935338973999023,core linear decay (100)
11,8.067904472351074,core linear decay (100)
12,8.187573432922363,core linear decay (100)
13,7.898064613342285,core linear decay (100)
14,7.999770641326904,core linear decay (100)
15,8.04384994506836,core linear decay (100)
16,8.42198657989502,core linear decay (100)
17,8.077616691589355,core linear decay (100)
18,8.036175727844238,core linear decay (100)
19,8.460206985473633,core linear decay (100)
20,8.608447074890137,core linear decay (100)
21,8.514534950256348,core linear decay (100)
22,8.092674255371094,core linear decay (100)
23,8.179062843322754,core linear decay (100)
24,8.588314056396484,core linear decay (100)
25,8.527669906616211,core linear decay (100)
26,8.665731430053711,core linear decay (100)
27,8.617208480834961,core linear decay (100)
28,8.122034072875977,core linear decay (100)
29,8.627124786376953,core linear decay (100)
30,8.638951301574707,core linear decay (100)
31,8.72407054901123,core linear decay (100)
32,8.568721771240234,core linear decay (100)
33,8.525605201721191,core linear decay (100)
34,8.687216758728027,core linear decay (100)
35,8.377427101135254,core linear decay (100)
36,8.344806671142578,core linear decay (100)
37,8.689818382263184,core linear decay (100)
38,8.749370574951172,core linear decay (100)
39,8.448575019836426,core linear decay (100)
40,8.614124298095703,core linear decay (100)
41,8.347504615783691,core linear decay (100)
42,8.3168306350708,core linear decay (100)
43,8.465882301330566,core linear decay (100)
44,8.321626663208008,core linear decay (100)
45,8.801061630249023,core linear decay (100)
46,8.521183967590332,core linear decay (100)
47,8.825013160705566,core linear decay (100)
48,8.60446834564209,core linear decay (100)
49,8.512518882751465,core linear decay (100)
50,8.59943962097168,core linear decay (100)
51,8.653549194335938,core linear decay (100)
52,8.568572998046875,core linear decay (100)
53,8.42906379699707,core linear decay (100)
54,8.816389083862305,core linear decay (100)
55,8.652613639831543,core linear decay (100)
56,8.56033992767334,core linear decay (100)
57,8.560760498046875,core linear decay (100)
58,8.228975296020508,core linear decay (100)
59,8.38473892211914,core linear decay (100)
60,8.32121467590332,core linear decay (100)
61,8.19630241394043,core linear decay (100)
62,8.548517227172852,core linear decay (100)
63,8.161396980285645,core linear decay (100)
